127.0.0.1, 2015-05-12 18:14:07, GET, /admin/default/ticket/welcome/127.0.0.1.2015-05-12.18-13-39.2b02f783-632e-42b1-8c75-960b9616976b, HTTP/1.1, 200, 0.049436
127.0.0.1, 2015-05-12 18:14:07, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 304, 0.000400
127.0.0.1, 2015-05-12 18:14:07, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 304, 0.000446
127.0.0.1, 2015-05-12 18:14:07, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 304, 0.000409
127.0.0.1, 2015-05-12 18:14:07, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 304, 0.000368
127.0.0.1, 2015-05-12 18:14:07, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.001082
127.0.0.1, 2015-05-12 18:14:07, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.001323
127.0.0.1, 2015-05-12 18:14:07, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000565
127.0.0.1, 2015-05-12 18:14:07, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001659
127.0.0.1, 2015-05-12 18:14:07, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.001134
127.0.0.1, 2015-05-12 18:14:07, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 304, 0.001174
127.0.0.1, 2015-05-12 18:14:07, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000344
127.0.0.1, 2015-05-12 18:14:07, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000317
127.0.0.1, 2015-05-12 18:14:07, GET, /admin/static/_2.10.4/images/help.png, HTTP/1.1, 304, 0.000309
127.0.0.1, 2015-05-12 18:14:07, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 304, 0.000368
127.0.0.1, 2015-05-12 18:14:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000221
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/default/ticket/welcome/127.0.0.1.2015-05-12.18-13-39.2b02f783-632e-42b1-8c75-960b9616976b, HTTP/1.1, 200, 0.058118
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/static/_2.10.4/js/jquery.js, HTTP/1.1, 304, 0.000406
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/static/_2.10.4/css/calendar.css, HTTP/1.1, 304, 0.000277
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/static/_2.10.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 304, 0.001171
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/static/_2.10.4/js/calendar.js, HTTP/1.1, 304, 0.001953
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/static/_2.10.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 304, 0.002635
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/static/_2.10.4/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000312
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/static/_2.10.4/plugin_multiselect/multi-select.css, HTTP/1.1, 304, 0.002216
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/static/_2.10.4/js/web2py.js, HTTP/1.1, 304, 0.000818
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/static/_2.10.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 304, 0.001469
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/static/_2.10.4/js/bootstrap.min.js, HTTP/1.1, 304, 0.000564
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/static/_2.10.4/css/bootstrap_essentials.css, HTTP/1.1, 304, 0.000573
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/static/_2.10.4/css/bootstrap.min.css, HTTP/1.1, 304, 0.000648
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/static/_2.10.4/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.002287
127.0.0.1, 2015-05-12 18:14:08, GET, /admin/static/_2.10.4/images/help.png, HTTP/1.1, 304, 0.000261
127.0.0.1, 2015-05-12 18:14:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000189
127.0.0.1, 2015-05-12 18:14:08, GET, /welcome/default/index, HTTP/1.1, 200, 0.027273
127.0.0.1, 2015-05-12 18:14:08, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000377
127.0.0.1, 2015-05-12 18:14:08, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.000371
127.0.0.1, 2015-05-12 18:14:08, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000342
127.0.0.1, 2015-05-12 18:14:08, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000326
127.0.0.1, 2015-05-12 18:14:09, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000596
127.0.0.1, 2015-05-12 18:14:08, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000288
127.0.0.1, 2015-05-12 18:14:08, GET, /welcome/static/css/calendar.css, HTTP/1.1, 304, 0.001013
127.0.0.1, 2015-05-12 18:14:09, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000495
127.0.0.1, 2015-05-12 18:14:09, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.000676
127.0.0.1, 2015-05-12 18:14:09, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 304, 0.000271
127.0.0.1, 2015-05-12 18:14:09, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000168
127.0.0.1, 2015-05-12 18:14:09, GET, /welcome/static/images/twitter.png, HTTP/1.1, 304, 0.000608
127.0.0.1, 2015-05-12 18:14:09, GET, /welcome/static/images/facebook.png, HTTP/1.1, 304, 0.000250
127.0.0.1, 2015-05-12 18:14:09, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 304, 0.000221
127.0.0.1, 2015-05-12 18:14:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.022342
127.0.0.1, 2015-05-12 18:14:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.019989
127.0.0.1, 2015-05-12 18:14:45, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000376
127.0.0.1, 2015-05-12 18:14:45, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.000573
127.0.0.1, 2015-05-12 18:14:45, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000915
127.0.0.1, 2015-05-12 18:14:45, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.000270
127.0.0.1, 2015-05-12 18:14:45, GET, /welcome/static/js/calendar.js, HTTP/1.1, 304, 0.000416
127.0.0.1, 2015-05-12 18:14:45, GET, /welcome/static/js/web2py.js, HTTP/1.1, 304, 0.000291
